ID,Segment,Business,Date,Status,MRR,Macro Product,Plan,Classificacao Ic
153,9,10,2025-05-04 00:00:00,1,7415,Cat_10,Cat_4,2
154,8,2,2021-09-24 00:00:00,1,2284,Cat_6,Cat_5,2
155,2,3,2021-09-18 00:00:00,1,6560,Cat_5,Cat_4,2
156,6,8,2023-03-18 00:00:00,0,3862,Cat_6,Cat_2,2
157,5,3,2022-04-28 00:00:00,1,8931,Cat_9,Cat_10,3
158,1,7,2025-05-14 00:00:00,1,685,Cat_7,Cat_10,1
159,2,1,2023-10-12 00:00:00,0,5720,Cat_2,Cat_2,3
160,5,4,2022-08-09 00:00:00,1,1394,Cat_8,Cat_1,1
161,5,9,2024-04-04 00:00:00,1,6059,Cat_6,Cat_7,3
162,6,8,2024-06-23 00:00:00,1,5087,Cat_3,Cat_10,3
163,3,6,2025-03-02 00:00:00,1,7699,Cat_7,Cat_3,2
164,5,10,2024-12-05 00:00:00,1,4439,Cat_7,Cat_1,1
165,1,9,2022-09-16 00:00:00,1,441,Cat_6,Cat_6,1
166,2,8,2025-11-25 00:00:00,1,5397,Cat_6,Cat_1,1
167,6,8,2024-06-24 00:00:00,1,8064,Cat_4,Cat_2,2
168,2,3,2021-02-07 00:00:00,1,2145,Cat_4,Cat_3,3
169,5,2,2021-09-18 00:00:00,0,2719,Cat_1,Cat_10,1
170,1,3,2022-06-01 00:00:00,1,5362,Cat_9,Cat_7,3
171,4,7,2023-12-20 00:00:00,1,8642,Cat_8,Cat_6,1
172,3,4,2024-09-16 00:00:00,1,4043,Cat_10,Cat_4,3
173,6,6,2023-08-18 00:00:00,1,3298,Cat_8,Cat_8,2
174,5,2,2022-06-18 00:00:00,1,8304,Cat_9,Cat_4,2
175,8,2,2025-08-19 00:00:00,1,6651,Cat_8,Cat_1,3
176,8,5,2023-07-22 00:00:00,1,3386,Cat_3,Cat_10,1
177,1,9,2024-06-25 00:00:00,1,8395,Cat_10,Cat_1,3
178,9,6,2022-05-19 00:00:00,1,8705,Cat_2,Cat_3,3
179,1,6,2025-09-24 00:00:00,1,7836,Cat_10,Cat_5,3
180,6,4,2024-07-15 00:00:00,1,7562,Cat_1,Cat_9,2
181,4,2,2021-04-28 00:00:00,1,3271,Cat_8,Cat_7,3
182,2,9,2025-08-29 00:00:00,1,5009,Cat_3,Cat_7,2
183,5,3,2025-10-04 00:00:00,1,5191,Cat_5,Cat_1,2
184,10,2,2024-02-25 00:00:00,1,2380,Cat_9,Cat_1,2
185,6,9,2025-11-21 00:00:00,1,4262,Cat_9,Cat_10,1
186,9,8,2022-10-13 00:00:00,0,2715,Cat_2,Cat_9,2
187,7,7,2025-05-05 00:00:00,1,1509,Cat_2,Cat_1,1
188,2,5,2022-02-21 00:00:00,0,2180,Cat_1,Cat_10,3
189,7,1,2025-05-02 00:00:00,1,8189,Cat_6,Cat_7,1
190,8,1,2022-03-14 00:00:00,1,6877,Cat_5,Cat_9,1
191,1,4,2022-08-11 00:00:00,1,4691,Cat_10,Cat_7,3
192,2,8,2025-08-18 00:00:00,0,8840,Cat_1,Cat_2,3
193,8,2,2021-06-21 00:00:00,0,8933,Cat_3,Cat_4,2
194,9,7,2022-07-11 00:00:00,1,5864,Cat_7,Cat_1,2
195,1,5,2022-10-26 00:00:00,1,4481,Cat_2,Cat_4,1
196,10,8,2024-01-20 00:00:00,1,7045,Cat_6,Cat_7,3
197,6,8,2025-10-17 00:00:00,0,9133,Cat_5,Cat_9,1
198,3,8,2025-08-06 00:00:00,0,1462,Cat_10,Cat_7,3
199,5,1,2024-06-11 00:00:00,1,4165,Cat_8,Cat_2,1
200,8,4,2025-09-12 00:00:00,0,7688,Cat_5,Cat_6,2
201,9,9,2025-12-16 00:00:00,1,8080,Cat_1,Cat_9,1
202,10,2,2025-05-06 00:00:00,0,6187,Cat_7,Cat_9,2
203,10,5,2021-03-23 00:00:00,0,1230,Cat_1,Cat_4,2
204,4,7,2021-10-27 00:00:00,1,3089,Cat_4,Cat_10,2
205,3,1,2022-08-01 00:00:00,1,2227,Cat_6,Cat_3,2
206,1,6,2022-09-20 00:00:00,0,5738,Cat_9,Cat_4,2
207,7,5,2023-05-11 00:00:00,0,7670,Cat_2,Cat_5,2
208,5,1,2022-02-12 00:00:00,1,9651,Cat_7,Cat_8,3
209,8,8,2024-03-20 00:00:00,1,6474,Cat_8,Cat_7,3
210,9,1,2022-06-18 00:00:00,1,187,Cat_6,Cat_9,1
211,1,10,2025-01-24 00:00:00,1,3483,Cat_7,Cat_8,2
212,9,6,2022-04-27 00:00:00,1,9754,Cat_6,Cat_7,1
213,10,3,2022-10-08 00:00:00,1,2778,Cat_4,Cat_1,2
214,1,6,2023-12-17 00:00:00,0,6098,Cat_6,Cat_1,1
215,8,3,2023-07-29 00:00:00,0,2938,Cat_1,Cat_4,3
216,8,3,2022-03-15 00:00:00,0,6979,Cat_9,Cat_4,2
217,2,7,2022-12-18 00:00:00,1,1075,Cat_2,Cat_3,3
218,6,1,2024-01-31 00:00:00,0,5714,Cat_6,Cat_3,3
219,1,7,2023-09-15 00:00:00,0,3235,Cat_9,Cat_4,2
220,1,1,2024-09-15 00:00:00,1,8134,Cat_9,Cat_2,3
221,5,8,2022-09-24 00:00:00,1,9721,Cat_3,Cat_10,1
222,9,1,2021-10-17 00:00:00,0,1236,Cat_8,Cat_1,1
223,6,2,2021-08-26 00:00:00,0,1631,Cat_5,Cat_8,3
224,9,1,2025-10-27 00:00:00,0,8561,Cat_3,Cat_7,1
225,2,5,2025-04-16 00:00:00,1,6469,Cat_2,Cat_10,2
226,1,6,2021-06-24 00:00:00,0,6402,Cat_7,Cat_9,3
227,3,4,2025-11-05 00:00:00,1,777,Cat_8,Cat_5,2
228,7,9,2022-03-04 00:00:00,0,9935,Cat_1,Cat_4,2
229,6,9,2021-01-01 00:00:00,1,825,Cat_7,Cat_2,2
230,6,7,2024-09-14 00:00:00,1,6605,Cat_5,Cat_1,2
231,5,9,2025-01-29 00:00:00,1,7854,Cat_5,Cat_5,3
232,8,2,2024-09-13 00:00:00,0,1826,Cat_8,Cat_7,1
233,6,2,2021-11-05 00:00:00,0,6199,Cat_8,Cat_1,1
234,5,10,2022-10-02 00:00:00,1,6605,Cat_1,Cat_8,2
235,4,10,2023-07-18 00:00:00,1,7835,Cat_4,Cat_3,1
236,9,3,2025-09-11 00:00:00,1,8944,Cat_10,Cat_6,1
237,2,7,2023-09-26 00:00:00,1,8078,Cat_5,Cat_9,3
238,9,10,2021-12-31 00:00:00,1,2447,Cat_7,Cat_1,3
239,6,1,2021-10-14 00:00:00,1,668,Cat_8,Cat_8,3
240,2,4,2024-04-03 00:00:00,1,8258,Cat_10,Cat_7,1
241,2,3,2022-08-07 00:00:00,0,8250,Cat_4,Cat_5,3
242,2,3,2021-01-23 00:00:00,1,2021,Cat_5,Cat_4,2
243,7,6,2024-02-08 00:00:00,1,3536,Cat_2,Cat_3,3
244,2,9,2025-04-29 00:00:00,1,3178,Cat_5,Cat_10,3
245,7,6,2025-10-18 00:00:00,1,3184,Cat_4,Cat_10,1
246,1,3,2023-03-27 00:00:00,1,5685,Cat_3,Cat_5,1
247,6,9,2025-01-31 00:00:00,1,5996,Cat_8,Cat_1,2
248,7,7,2021-05-03 00:00:00,1,1602,Cat_4,Cat_3,1
249,1,9,2023-01-30 00:00:00,1,5282,Cat_7,Cat_8,3
250,10,2,2023-11-18 00:00:00,1,6347,Cat_1,Cat_7,1
251,2,9,2021-04-22 00:00:00,1,5859,Cat_3,Cat_6,2
252,8,10,2024-10-25 00:00:00,0,3220,Cat_8,Cat_9,3
253,4,9,2023-08-07 00:00:00,1,3805,Cat_5,Cat_5,2
254,6,5,2023-05-12 00:00:00,1,8863,Cat_5,Cat_2,1
255,4,3,2024-05-06 00:00:00,1,5136,Cat_5,Cat_4,1
256,1,4,2024-03-21 00:00:00,1,349,Cat_7,Cat_1,1
257,6,3,2025-11-13 00:00:00,1,6000,Cat_2,Cat_2,2
258,9,4,2022-06-02 00:00:00,1,323,Cat_8,Cat_9,3
259,10,2,2025-04-03 00:00:00,1,8064,Cat_5,Cat_6,3
260,3,8,2024-11-11 00:00:00,0,3035,Cat_10,Cat_9,2
261,9,4,2022-02-05 00:00:00,1,4550,Cat_5,Cat_10,2
262,8,6,2024-04-20 00:00:00,1,9314,Cat_7,Cat_2,2
263,8,2,2023-09-09 00:00:00,1,4760,Cat_2,Cat_2,3
264,2,8,2021-07-11 00:00:00,1,7181,Cat_7,Cat_8,2
265,7,9,2025-05-24 00:00:00,1,2820,Cat_1,Cat_10,3
266,10,10,2022-11-27 00:00:00,1,2122,Cat_9,Cat_6,2
267,10,5,2021-12-14 00:00:00,1,220,Cat_8,Cat_2,1
268,6,4,2022-11-11 00:00:00,1,5722,Cat_10,Cat_10,3
269,10,4,2022-05-19 00:00:00,0,8187,Cat_3,Cat_3,2
270,7,1,2025-08-20 00:00:00,1,5027,Cat_8,Cat_5,2
271,10,2,2025-08-18 00:00:00,1,3715,Cat_2,Cat_10,1
272,1,7,2021-05-25 00:00:00,0,2639,Cat_5,Cat_6,2
273,10,3,2022-02-19 00:00:00,1,9341,Cat_2,Cat_7,1
274,6,3,2025-05-12 00:00:00,1,7842,Cat_4,Cat_9,3
275,6,1,2022-12-24 00:00:00,1,1785,Cat_9,Cat_7,1
276,4,2,2022-07-14 00:00:00,1,575,Cat_10,Cat_4,1
277,5,3,2023-08-05 00:00:00,1,6327,Cat_5,Cat_5,1
278,6,1,2021-05-20 00:00:00,1,5975,Cat_5,Cat_6,1
279,9,1,2025-01-10 00:00:00,1,950,Cat_7,Cat_6,2
280,2,6,2022-06-11 00:00:00,0,9658,Cat_8,Cat_3,2
281,9,3,2025-08-17 00:00:00,1,5404,Cat_10,Cat_4,1
282,8,8,2024-10-01 00:00:00,1,5317,Cat_6,Cat_3,2
283,8,4,2023-09-26 00:00:00,1,1650,Cat_6,Cat_1,1
284,7,10,2024-01-13 00:00:00,0,9486,Cat_4,Cat_5,3
285,8,10,2025-07-19 00:00:00,1,6788,Cat_8,Cat_6,2
286,5,6,2024-06-15 00:00:00,1,8076,Cat_1,Cat_8,3
287,1,2,2025-08-22 00:00:00,0,5826,Cat_5,Cat_7,3
288,1,8,2025-11-18 00:00:00,0,3012,Cat_7,Cat_4,1
289,5,7,2024-06-13 00:00:00,1,9595,Cat_9,Cat_10,2
290,5,4,2021-07-03 00:00:00,0,7240,Cat_2,Cat_2,3
291,4,4,2022-08-12 00:00:00,1,7277,Cat_7,Cat_2,1
292,8,1,2023-05-28 00:00:00,1,7920,Cat_4,Cat_8,2
293,7,10,2024-02-18 00:00:00,1,4199,Cat_10,Cat_6,3
294,7,6,2021-07-08 00:00:00,1,6673,Cat_1,Cat_2,2
295,6,5,2022-11-25 00:00:00,1,7292,Cat_3,Cat_1,2
296,3,9,2025-05-29 00:00:00,0,296,Cat_10,Cat_7,2
297,10,1,2025-04-06 00:00:00,1,6611,Cat_2,Cat_6,1
298,9,4,2024-04-23 00:00:00,1,419,Cat_10,Cat_6,1
299,6,8,2024-02-26 00:00:00,1,5963,Cat_9,Cat_7,3
300,8,1,2022-07-27 00:00:00,1,636,Cat_5,Cat_5,1
301,6,10,2022-03-28 00:00:00,1,1705,Cat_10,Cat_7,1
302,8,9,2022-06-30 00:00:00,1,3975,Cat_3,Cat_2,3
303,3,7,2025-05-22 00:00:00,1,8040,Cat_6,Cat_1,2
304,2,1,2025-10-14 00:00:00,1,8879,Cat_4,Cat_9,3
305,1,5,2022-11-29 00:00:00,1,5474,Cat_5,Cat_4,1
306,2,9,2025-06-14 00:00:00,0,7101,Cat_1,Cat_6,3
307,8,7,2022-01-10 00:00:00,1,8095,Cat_5,Cat_6,1
308,5,1,2025-01-11 00:00:00,1,3076,Cat_9,Cat_3,3
309,10,7,2023-10-06 00:00:00,1,4627,Cat_8,Cat_1,3
310,5,9,2025-12-17 00:00:00,1,6375,Cat_9,Cat_2,3
311,7,9,2024-10-23 00:00:00,1,4521,Cat_6,Cat_8,3
312,1,10,2024-10-04 00:00:00,1,9523,Cat_1,Cat_5,3
313,4,3,2021-12-08 00:00:00,1,1743,Cat_2,Cat_7,1
314,9,6,2022-11-10 00:00:00,1,3606,Cat_1,Cat_5,2
315,3,10,2024-03-24 00:00:00,1,9527,Cat_2,Cat_10,2
316,1,2,2021-06-18 00:00:00,1,5084,Cat_10,Cat_2,2
317,4,6,2025-07-27 00:00:00,0,5722,Cat_10,Cat_2,2
318,7,6,2024-10-22 00:00:00,0,8724,Cat_8,Cat_7,1
319,1,3,2024-08-14 00:00:00,0,8642,Cat_8,Cat_5,2
320,9,9,2021-01-17 00:00:00,1,8616,Cat_9,Cat_6,2
321,6,8,2025-02-04 00:00:00,1,985,Cat_3,Cat_7,1
322,10,7,2021-10-10 00:00:00,1,5810,Cat_9,Cat_3,1
323,6,2,2021-12-11 00:00:00,1,2224,Cat_10,Cat_8,3
324,5,8,2025-11-15 00:00:00,1,8393,Cat_6,Cat_5,2
325,5,2,2023-04-05 00:00:00,0,3133,Cat_1,Cat_4,3
326,8,7,2023-01-30 00:00:00,1,1944,Cat_1,Cat_9,1
327,7,6,2025-06-09 00:00:00,1,3786,Cat_10,Cat_4,2
328,10,10,2022-07-25 00:00:00,1,5326,Cat_8,Cat_10,3
329,7,2,2023-01-07 00:00:00,1,2141,Cat_6,Cat_4,2
330,4,1,2025-07-30 00:00:00,1,2444,Cat_2,Cat_4,2
331,7,9,2021-05-12 00:00:00,0,2118,Cat_6,Cat_3,2
332,2,1,2025-07-13 00:00:00,0,5866,Cat_6,Cat_1,3
333,2,10,2025-01-05 00:00:00,0,5221,Cat_10,Cat_5,1
334,8,9,2023-11-06 00:00:00,1,9723,Cat_8,Cat_5,3
335,8,10,2022-03-01 00:00:00,1,6324,Cat_10,Cat_4,1
336,10,5,2025-08-25 00:00:00,0,1043,Cat_8,Cat_8,1
337,10,2,2025-12-03 00:00:00,1,3426,Cat_3,Cat_8,2
338,5,5,2024-04-12 00:00:00,0,4004,Cat_4,Cat_3,2
339,10,5,2025-05-08 00:00:00,0,3187,Cat_5,Cat_6,3
340,6,6,2021-03-03 00:00:00,0,3739,Cat_4,Cat_7,1
341,1,9,2022-02-24 00:00:00,1,5812,Cat_2,Cat_2,2
342,9,7,2021-01-07 00:00:00,1,427,Cat_5,Cat_1,1
343,10,8,2025-01-06 00:00:00,1,7029,Cat_6,Cat_3,1
344,2,7,2024-01-24 00:00:00,1,2770,Cat_2,Cat_5,1
345,4,3,2024-07-17 00:00:00,1,6621,Cat_2,Cat_8,2
346,6,6,2023-10-19 00:00:00,1,2946,Cat_2,Cat_3,2
347,1,1,2025-10-09 00:00:00,0,1509,Cat_6,Cat_9,3
348,9,4,2025-06-17 00:00:00,0,4934,Cat_7,Cat_5,2
349,4,2,2021-06-24 00:00:00,0,3472,Cat_7,Cat_5,1
350,1,5,2025-11-03 00:00:00,1,2328,Cat_1,Cat_7,2
351,9,3,2022-10-28 00:00:00,1,9402,Cat_10,Cat_2,3
352,5,2,2022-09-28 00:00:00,1,282,Cat_2,Cat_1,2
353,4,7,2024-12-23 00:00:00,1,4567,Cat_6,Cat_10,3
354,4,10,2023-04-05 00:00:00,1,5897,Cat_2,Cat_9,2
355,4,10,2023-01-27 00:00:00,1,5037,Cat_5,Cat_6,2
356,8,6,2021-09-14 00:00:00,0,670,Cat_7,Cat_3,1
357,1,4,2021-05-24 00:00:00,1,2467,Cat_5,Cat_5,2
358,2,8,2025-08-15 00:00:00,0,8303,Cat_4,Cat_10,1
359,2,3,2025-03-01 00:00:00,1,9879,Cat_4,Cat_5,1
360,9,7,2025-01-04 00:00:00,0,8187,Cat_5,Cat_3,2
361,4,1,2022-07-28 00:00:00,1,5035,Cat_1,Cat_5,1
362,8,7,2025-02-12 00:00:00,1,6474,Cat_1,Cat_6,2
363,6,8,2024-07-01 00:00:00,1,6723,Cat_5,Cat_4,3
364,9,8,2023-02-22 00:00:00,1,6831,Cat_6,Cat_4,3
365,4,2,2022-08-24 00:00:00,1,2670,Cat_2,Cat_2,3
366,2,8,2023-08-10 00:00:00,1,3619,Cat_2,Cat_2,2
367,4,1,2024-03-13 00:00:00,1,1153,Cat_5,Cat_4,2
