ID,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
58,,,,,,,,,,,,,,,,0,116,50,39,132,38,29,27,16,56,40,105,376,252,155,217,217,247,202,177,178,202,184,240,166,252,58,7
59,0,4,4,14,26,16,6,37,85,113,107,58,102,81,101,38,326,479,897,775,906,1126,792,703,662,1012,1026,1013,587,89,753,877,35,15,53,41,104,84,63,317,333,222,73
60,,,,,,,,,,,,,,,2,118,36,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,0,134,70,36,10,125,11,270,128,105,107,7,164,183,38,20,11,60,21,2,36,5,0,32,63,4,0,22,0,7,29,8,6,7,11,0,37,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,199,31,32,16,41,111,218,135,219,179,109,127,235,153,72,63,96,99,79,210,87,103,51,87,505,158,5
64,,,,,,,,,,,,,,,,,,,,,,2964,3304,2877,3843,1813,2153,2403,2154,2092,2197,2235,1814,2827,1655,1953,,,,,,,
65,63,145,109,299,417,379,291,214,186,223,350,125,604,81,122,142,89,132,133,153,143,154,130,151,21,52,67,68,57,145,143,101,153,175,165,100,344,222,221,488,158,142,27
66,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,11,0,0,0,11,0,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,9,96,69,90,31,33,24,11,63,22,43,29,66,152,37,31,25,58,28,25,42,7
68,2,13,6,7,4,3,33,7,172,68,216,34,54,80,110,68,138,61,52,107,293,18,10,9,1,14,28,4,9,11,19,6,3,1,27,0,4,4,8,8,7,1,0
69,71,129,223,424,564,549,1167,904,1081,2212,1665,1041,821,2018,598,656,1853,539,691,634,487,397,236,338,263,263,258,316,310,747,399,625,598,615,499,351,520,596,610,686,707,1112,147
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,18,20,10,11,29,9,3
71,3,5,26,7,11,44,148,78,96,49,20,110,170,138,218,261,299,325,288,248,367,325,192,156,356,76,57,176,454,336,116,202,125,262,106,333,304,244,69,105,175,264,51
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,8,5,8,6,1,3,58,178,45,108,367,8
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,,,,,0,
74,0,0,0,0,0,0,0,0,0,0,0,0,12,23,41,54,56,47,14,37,23,41,22,190,16,4,22,5,6,30,28,7,20,2,27,7,15,9,0,2,22,0,0
75,,,,,,,,,,,,,,,,,,,,,,,58,7,19,66,45,31,30,9,6,17,0,0,0,,,,,,,,
76,19,38,40,26,108,264,120,136,203,97,85,46,1,10,123,34,0,,,47,99,90,111,93,89,52,111,148,40,77,66,9,27,0,,,,,,,,,
77,,,,,,,,,,44,15,0,0,13,17,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,0,58,85,5,37,5,25,1,55,36,5,22,2,6,0,1,17,31,5,2,11,0,17,5,6,5,10,17,0,30,12,0,0
79,,,,,,,,,,,,,,,,,,,,,,0,70,8,27,15,3,1,0,34,5,2,3,0,0,2,2,1,5,0,7,0,12
80,139,222,172,237,508,464,702,873,1024,1283,1229,540,359,77,373,584,1026,1807,1107,969,837,1176,717,627,584,796,792,760,590,673,712,500,771,524,332,516,365,418,427,496,356,582,92
81,3,2,8,1,16,13,14,9,27,18,25,0,21,30,0,1,4,8,13,9,1,,,,,,,,,,,,,,,,,,,,,,
82,7,9,30,17,27,32,28,55,63,40,77,27,16,23,81,33,106,21,48,32,48,35,67,133,209,25,89,122,73,98,61,39,55,127,75,64,45,62,27,56,46,16,3
83,109,147,248,591,695,643,905,995,1049,2013,2027,986,924,1031,626,1172,1582,1472,1281,1401,1580,1241,1562,789,1242,1294,585,1584,622,1251,1662,1924,1713,1327,959,1505,1786,3093,1931,2487,2307,2400,385
84,0,11,57,70,58,84,252,76,90,224,60,70,159,85,490,359,409,324,229,369,103,132,463,87,103,225,183,202,139,54,153,156,132,210,121,90,185,153,69,179,204,165,49
85,,,,,,,,,0,457,372,253,157,148,269,80,95,112,56,78,107,108,133,55,94,64,119,104,48,144,233,214,329,187,120,127,179,243,162,137,77,180,132
86,0,3,25,1,900,39,23,30,65,30,17,0,,,,,,,,0,62,35,15,33,43,9,2,7,4,5,2,0,0,12,4,2,1,10,18,3,5,1,0
87,6,5,1,3,7,,,15,0,73,8,51,83,9,13,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
88,5,11,48,1,26,72,30,7,43,78,23,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,16,24,57,81,76,193,233,317,71,98,38,110,71,85,72,83,97,274,209,215,144,261,286,209,179,219,304,105,133,196,486,182,162,141,107,54,97,168,42,5
90,4,1,7,2,31,41,11,78,55,22,22,2,4,46,43,47,36,55,36,88,102,106,64,60,112,125,116,122,26,25,32,32,7,33,27,22,28,4,18,7,6,4,11
91,30,20,22,56,63,39,24,46,1,2,100,21,129,16,5,31,11,1,18,52,101,77,70,40,58,57,38,59,20,10,38,65,195,228,20,15,35,32,7,72,18,20,1
92,0,1,0,0,0,0,0,5,0,0,0,0,5,6,203,18,20,124,48,39,40,4,2,0,3,6,,,,,,,,,,,,,,,,,
93,64,139,129,155,186,125,58,157,19,240,116,34,484,112,154,127,136,87,40,86,83,80,59,197,369,307,241,229,246,199,179,212,204,266,269,110,145,99,575,672,1150,807,64
94,,,,,,,,,,,,,,,,,,,,1597,917,808,752,1128,1313,967,924,1647,2540,1654,827,749,286,266,247,321,383,407,747,579,722,551,141
95,,,,12,103,15,8,18,145,5,0,0,33,3,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,0,12,,,,,,,,,,,,,,,,,,,,,,,206,98,34,10
97,1,1,16,10,17,9,26,13,33,65,57,26,33,74,36,10,85,31,49,40,50,64,59,25,15,12,15,9,54,7,14,2,52,25,16,20,18,38,68,72,55,93,6
98,168,159,43,60,81,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,13,1,86,95,34,30,38,27,22,1,8,27,0,9,12,11,22,13,14,36,33,15,56,0,48,70,57,56,124,34,31,39,14,130,147,217,112,5,19,7,129,3,0
100,,,,255,236,310,361,367,642,561,827,115,509,819,769,366,420,386,379,782,1073,1281,2181,1438,2895,2182,3843,4566,3836,2829,2070,3692,5626,3899,3451,2158,3063,2016,2397,3628,1431,2954,479
101,,,,,,,0,29,6,22,3,22,7,0,61,9,4,15,9,9,33,28,14,6,2,5,1,47,12,25,7,1,6,3,19,22,8,0,1,5,12,21,0
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,152,226,226,301,29
103,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,3,9,5,,,,,,,,,,,,,,,,,,17,12,3,5,22,12,15,5,1,15,6,7,3,2,3,0,10,8,6,0,0,5,14
105,0,5,0,3,16,5,0,18,27,32,32,13,0,7,5,0,1,7,2,0,5,0,1,1,4,10,9,0,0,4,2,7,1,0,1,0,3,0,0,6,0,3,0
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,80,40,18,48,17,40,63,40,37,0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,14,127,233,153,60,26,31,30,45,39,4
108,7,8,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,4,88,32,20,5,190,58,,,,,13,57,44,103,73,54,77,53,5,54,10,78,16,92,51,58,71,77,40,66,24,33,67,4,47,42,36,0
110,0,2,4,0,24,1,4,32,28,2,1,8,0,19,0,2,9,13,0,11,33,24,3,6,3,16,17,0,10,8,8,6,2,1,2,0,1,0,23,0,0,0,0
111,,,,,,,,,,,,,0,74,44,38,53,16,27,82,51,98,75,26,35,15,107,73,82,87,26,97,55,54,241,49,46,63,55,51,78,108,14
112,3,20,15,18,25,5,4,32,97,0,70,4,16,59,28,5,23,19,23,4,3,6,14,41,1,7,17,70,41,32,41,24,2,16,9,4,26,15,15,2,0,1,0
113,,,,,,,,,,,,,,7,0,4,20,34,13,26,0,0,7,0,0,7,0,0,0,0,0,,,,,,,,,,,,
114,8,26,11,31,140,207,73,100,21,42,325,241,227,158,441,456,388,200,55,246,351,113,72,38,302,254,262,145,59,116,40,76,32,41,65,25,24,35,70,50,55,305,45
115,3,14,23,26,85,37,33,78,101,51,52,15,0,5,23,8,6,10,29,3,0,4,10,1,0,0,23,0,0,0,2,20,0,1,3,0,2,0,4,5,5,22,0
116,10,13,82,31,49,62,34,79,267,173,79,11,125,41,227,35,97,57,44,50,47,117,57,52,131,88,50,53,72,69,206,426,81,143,59,74,290,164,63,113,134,33,8
117,,,,,,,,,,,,,,,,,,,,0,67,115,14,17,7,61,2,0,0,0,18,34,10,18,31,16,104,24,17,14,0,14,0
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,79,94,7
119,25,21,93,233,200,231,44,275,534,809,399,75,170,2090,196,246,249,285,548,327,322,132,218,81,589,358,451,321,447,283,134,204,193,172,77,54,94,147,85,126,268,311,46
120,32,16,13,16,30,161,56,223,42,74,43,143,70,182,223,53,36,93,99,93,71,169,81,51,99,136,70,77,87,86,74,68,77,97,54,21,80,90,71,69,79,64,0
121,0,0,0,0,0,0,0,0,0,0,0,7,14,0,71,35,28,22,30,36,26,11,27,5,6,2,1,17,12,3,6,2,5,15,9,1,2,7,7,1,6,1,0
122,46,8,29,0,,,,,,,,,,,,,,15,44,31,79,33,34,27,5,10,106,69,160,136,6,111,111,85,117,0,14,2,1,3,6,1,0
123,98,5,45,26,132,66,26,221,115,174,93,19,24,13,2,16,49,17,57,92,56,29,68,42,35,29,23,20,22,116,50,35,23,74,51,38,24,46,71,16,48,15,10
124,10,7,17,10,14,44,18,40,72,63,55,21,31,5,23,43,17,35,26,45,25,13,27,26,22,43,51,25,11,34,44,19,48,154,29,36,43,22,18,31,23,31,4
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,112,46,1
126,92,62,97,195,183,220,211,212,326,560,413,130,123,133,209,193,184,184,184,95,164,72,154,156,118,103,138,52,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,43,38,80,6,2,41,20,2,26,4,14,0,0,315,99,75,15,30,6,12,0,0,24,63,33,60,0,0,24
128,4,18,44,69,144,91,95,236,102,151,67,21,26,146,76,67,50,89,52,66,32,84,65,37,76,97,115,162,134,103,54,57,77,82,54,17,32,149,76,142,85,81,4
129,0,0,0,0,0,0,3,4,11,5,6,8,0,3,4,2,4,0,2,4,0,0,0,0,0,2,0,3,11,0,0,2,2,2,0,0,0,0,2,0,5,2,0
130,1,9,2,0,0,,,,,,,,,,,,,,,,,,0,12,22,6,1,13,7,26,13,22,13,2,10,2,6,1,11,5,0,2,0
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,15,3,8,0,0
132,26,90,65,37,271,252,749,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
133,22,19,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,3
134,39,15,16,11,53,46,88,13,76,43,13,38,83,5,66,96,36,6,133,33,54,19,10,4,69,63,42,26,16,32,60,48,81,33,59,21,78,25,34,44,79,28,3
135,16,9,16,7,8,19,28,79,103,64,9,48,20,29,85,36,26,22,58,24,23,19,3,40,12,3,9,7,12,20,29,21,10,29,14,44,34,41,7,59,24,66,11
136,0,25,4,88,71,208,73,68,42,75,111,97,76,35,30,86,54,41,43,40,38,39,44,2,59,114,105,71,61,50,145,165,132,133,140,46,118,62,73,52,26,40,0
137,,,,,,,,0,0,1,14,1,18,14,23,5,21,18,4,11,1,2,15,31,16,46,43,18,34,28,14,31,85,81,58,13,23,19,30,24,9,15,1
138,,,,,,,,,,,15,40,105,76,47,68,73,50,34,51,31,32,33,15,85,237,81,131,106,145,142,88,91,125,108,68,22,43,112,49,84,68,2
139,9,12,48,61,102,52,140,176,172,251,73,51,12,61,26,23,20,39,46,137,63,29,144,10,18,3,50,56,62,50,112,229,81,317,243,66,57,101,78,34,59,49,0
140,7,11,12,15,17,38,53,95,36,75,37,25,17,35,48,59,71,56,30,14,9,16,3,13,16,2,9,9,20,52,2,30,18,55,9,3,43,30,20,7,4,7,0
141,,,,,,,0,0,0,25,0,1,9,2,0,39,11,6,8,1,0,2,2,4,8,4,8,9,44,249,29,78,20,63,81,49,50,90,122,39,19,2,0
142,48,48,91,86,112,128,304,180,360,181,241,51,393,430,209,68,85,51,134,251,97,82,93,46,82,23,69,86,66,11,21,130,199,153,97,86,12,41,2,0,4,9,5
143,51,75,224,50,115,63,372,124,258,177,152,308,106,63,113,261,173,318,19,179,116,90,147,125,107,10,7,28,27,6,15,83,2,28,27,5,13,90,91,43,143,88,13
144,,,,,,,,,,,0,0,0,23,0,6,0,6,0,25,0,21,2,0,0,0,5,13,0,3,0,32,3,16,0,0,0,0,5,0,2,1,0
145,28,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,913,
146,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,107,113,123,80,730,434,367,493,347,315,419,300,112,468,569,199,423,684,688,526,504,448,952,712,1086,994,2170,1257,860,849,1066,792,654,1442,648,762,594,916,410,336,478,862,32
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,79,37,62,40,18,30,1
149,,,,,,,,,,,,,,,,,,,54,15,7,3,16,0,78,1,3,0,0,0,0,0,0,,,,,,0,2,20,1,1
150,10,47,52,49,61,62,114,136,275,322,359,111,56,63,81,87,196,101,120,152,98,86,38,49,117,75,101,90,61,79,77,168,158,192,44,29,46,141,174,105,97,99,7
151,,,,,,,,,,,0,47,3,34,38,11,84,29,22,36,10,43,9,10,48,6,50,44,30,70,38,45,16,64,52,48,87,115,174,50,37,50,1
152,4,4,6,9,13,25,12,13,29,14,10,7,22,48,30,27,72,25,9,14,16,35,15,2,8,9,13,20,2,18,44,5,23,32,18,90,43,34,110,23,23,34,5
153,0,6,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0,0,0,0,60,75,49,80,48,120,105,59,20,37,0,10,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,
155,,,,,,,,,,,0,13,0,0,1,4,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,2,0,4,5,3,6,0,0,0
157,,,,,,,,,,,,,,,,,,,322,484,266,257,210,188,117,320,404,341,366,315,298,379,543,1047,618,264,464,987,691,1223,876,610,132
158,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,849,165,101,119,105,45,328,218,50,15,37,14,13,32,45,0
159,,,,,,,,,,,582,547,1363,807,773,701,1014,409,343,374,249,127,289,225,337,213,226,659,264,205,162,200,203,249,289,467,388,270,385,493,282,153,51
160,,,,,,,,,,,,,,,,,,,,,,,0,12,7,4,7,0,28,13,17,16,0,1,0,0,18,0,0,0,0,0,0
161,,,,,,,,,,,,,0,44,8,1,6,29,6,13,9,5,13,12,2,3,7,4,1,34,5,38,17,24,10,20,20,24,40,24,16,43,1
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,3,2,1,5,4,2,12,12,17,2,1
163,4,1,0,10,27,6,16,5,26,34,2,2,7,53,14,5,34,48,25,4,18,12,1,7,14,10,8,12,29,27,32,11,3,59,20,2,11,11,1,14,3,28,0
164,,,,,,,,,,,0,17,2,15,0,26,8,14,12,2,3,2,9,8,30,3,7,7,12,1,19,5,14,33,6,11,6,1,25,19,13,15,0
165,2,7,1,12,18,40,16,5,0,0,8,0,0,0,10,17,4,3,2,0,0,9,0,0,,,,,,,,,,,,,,,,,,,
166,442,544,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,116,13,25,134,1,32,0,0,0,29,0,0,0,21,6,0,6,27,0,0,0,70,20,0,11,0,53,2,63,96,70,6,16,1,20,0,0,1,0
168,3,32,15,9,43,34,32,44,25,15,48,2,9,37,7,50,47,32,23,34,32,18,11,22,36,44,43,26,0,39,31,40,36,37,30,19,29,154,60,41,131,31,6
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,117,71,10
170,,,,,,,,,,,62,3,3,4,36,36,77,56,55,30,80,122,44,11,48,47,32,90,45,35,64,56,87,107,31,28,38,53,26,66,29,14,5
171,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,7,1,2,22,22,69,59,80,159,53,38,0,27,16,40,41,56,16,27,16,16,8,16,2,9,10,20,4,27,35,28,5,29,29,15,8,20,27,14,24,34,12,2
173,2,4,8,30,50,6,46,1,54,82,174,135,62,80,148,202,294,122,70,184,111,265,180,59,118,226,364,361,114,285,295,260,85,40,113,83,191,145,112,168,39,57,5
174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,35,29,2,1,11,22,0
175,,,0,0,0,9,30,69,0,0,0,0,5,0,0,26,0,0,0,0,12,7,13,5,6,28,4,5,19,0,17,0,0,14,0,7,4,9,28,10,12,6,0
176,,,,,,,0,31,14,30,1,2,24,1,0,3,7,0,0,2,3,3,3,0,0,4,0,8,0,22,11,4,7,5,0,0,0,0,5,18,0,0,0
177,,,,0,71,150,259,130,277,296,418,90,57,16,45,41,11,78,54,20,15,23,26,7,11,36,57,17,9,37,7,0,42,23,10,9,9,38,23,7,13,16,52
178,8,10,18,6,40,25,7,24,0,0,20,3,23,0,2,6,10,8,12,0,0,0,0,0,7,0,5,4,0,1,1,0,0,0,10,0,21,85,10,65,2,5,0
179,1,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
